contracts,z_thresh,atr_stop_ratio,trail_activate,trail_distance,breakeven_ticks,vwap_slope_thresh,pass_rate,blow_rate,avg_days_to_pass,sortino,expectancy,profit_factor,win_rate,avg_win,avg_loss,risk_reward,n_trades,total_pnl,loo_std,score,val_pass_rate,val_blow_rate,val_avg_days,val_n_trades,wf_score
1,1.2,0.8,20,4,8,0.3,0.607,0.39,14.0,0.19,21.0,1.342,0.2925,281.48,86.67,3.248,212,3858.1,0.0711,59.2877,,,,,
2,1.2,0.8,8,4,4,0.15,0.611,0.371,17.5,0.111,23.72,1.263,0.4506,252.98,164.33,1.54,162,2941.0,0.0956,59.2424,,,,,
1,1.2,0.5,12,4,10,0.3,0.612,0.278,22.5,0.123,13.31,1.223,0.4058,179.83,100.41,1.791,207,2176.2,0.1162,59.2052,,,,,
1,1.2,0.5,20,4,8,0.3,0.609,0.371,17.0,0.179,17.04,1.291,0.2657,284.12,79.61,3.569,207,2947.1,0.1023,58.9131,,,,,
1,1.2,0.65,20,6,10,0.3,0.604,0.386,14.8,0.176,19.71,1.302,0.3088,275.14,94.41,2.914,204,3449.9,0.0771,58.8881,,,,,
2,1.2,0.8,16,6,10,0.3,0.599,0.401,7.9,0.154,38.96,1.301,0.415,405.92,221.36,1.834,200,6682.8,0.0577,58.7454,,,,,
1,1.2,0.8,16,10,8,0.3,0.603,0.382,17.3,0.142,16.82,1.278,0.3785,204.17,97.27,2.099,214,3000.8,0.0847,58.6512,,,,,
1,1.5,0.65,20,4,10,1.0,0.596,0.081,26.1,0.186,20.29,1.321,0.2869,291.07,88.65,3.283,122,2133.4,0.1,58.5694,,,,,
1,1.2,0.8,12,4,8,0.5,0.604,0.368,19.2,0.108,13.76,1.22,0.4353,175.3,110.78,1.582,232,2543.7,0.0993,58.4988,,,,,
2,1.2,0.8,16,4,6,0.15,0.598,0.398,13.0,0.154,30.85,1.303,0.321,413.43,150.0,2.756,162,4096.6,0.0683,58.446,,,,,
2,1.2,0.65,12,4,8,0.3,0.599,0.401,8.6,0.163,38.16,1.324,0.4197,371.49,202.9,1.831,193,6290.2,0.074,58.4206,,,,,
2,1.2,0.8,16,4,10,0.5,0.595,0.405,8.1,0.137,35.77,1.266,0.4115,414.17,228.81,1.81,209,6310.4,0.0661,58.1779,,,,,
1,1.2,0.8,20,6,8,0.3,0.594,0.404,13.6,0.187,20.64,1.337,0.2905,281.9,86.33,3.266,210,3745.6,0.0655,58.0965,,,,,
2,1.2,0.8,16,6,10,0.15,0.592,0.408,11.7,0.147,35.38,1.283,0.4,401.36,208.6,1.924,155,4627.6,0.0567,58.0662,,,,,
2,1.5,0.65,20,6,10,1.0,0.597,0.392,15.2,0.156,33.87,1.267,0.2857,561.94,177.35,3.168,119,3364.6,0.0868,57.9976,,,,,
1,1.2,0.5,12,4,4,0.3,0.599,0.299,22.5,0.133,12.53,1.25,0.3486,179.85,77.02,2.335,218,2120.4,0.1118,57.971,,,,,
1,1.2,0.8,12,6,10,1.0,0.594,0.338,20.7,0.091,12.5,1.188,0.4786,165.18,127.66,1.294,234,2269.8,0.0938,57.7271,,,,,
1,1.2,0.65,12,6,8,0.3,0.592,0.308,22.2,0.11,12.97,1.216,0.4186,174.17,103.1,1.689,215,2185.5,0.0991,57.5189,,,,,
2,1.2,0.65,12,4,10,0.3,0.593,0.407,9.2,0.14,34.68,1.277,0.4462,358.19,225.93,1.585,195,5676.0,0.0893,57.5141,,,,,
2,1.2,0.65,16,4,8,0.3,0.587,0.413,7.3,0.193,43.3,1.369,0.375,428.31,187.71,2.282,192,7243.6,0.0635,57.4291,,,,,
1,1.2,0.8,16,8,6,0.3,0.594,0.371,19.2,0.13,14.12,1.261,0.3565,191.56,84.17,2.276,216,2445.4,0.1063,57.3782,,,,,
